year;title;studios;producers;winner;imageUrl
1980;Can't Stop the Music;Associated Film Distribution;Allan Carr;yes;https://m.media-amazon.com/images/M/MV5BNjlhNzQ1NDItM2RlYy00NjNjLThhYjktYjU4MTQwYzg1OTkxL2ltYWdlXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._SL110_CR21,0,74,110_AL_.jpg
1980;Cruising;Lorimar Productions, United Artists;Jerry Weintraub;;https://m.media-amazon.com/images/M/MV5BYjFmODA1NjItY2NmOS00NTczLThkMWMtMzNlZTNiNmU0NWRiXkEyXkFqcGdeQXVyNDE5MTU2MDE@._SL110_CR21,0,74,110_AL_.jpg
1980;The Formula;MGM, United Artists;Steve Shagan;;https://m.media-amazon.com/images/M/MV5BNTMyZDcyMmQtNTQ0YS00ZTI3LWIxODAtMTI5MGQ4MzUzMjMxXkEyXkFqcGdeQXVyMTUzMDUzNTI3._SL110_CR21,0,74,110_AL_.jpg
1980;Friday the 13th;Paramount Pictures;Sean S. Cunningham;;https://m.media-amazon.com/images/M/MV5BNWMxYTYzYWQtNGZmNy00MTg5LTk1N2MtNzQ5NjQxYjQ5NTJhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._SL110_CR21,0,74,110_AL_.jpg
1980;The Nude Bomb;Universal Studios;Jennings Lang;;https://m.media-amazon.com/images/M/MV5BMGVjMzNhYmUtOGIwYS00ZjNjLTlhNjktMTY4ZDUzYWE4MjI0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._SL110_CR21,0,74,110_AL_.jpg
1980;The Jazz Singer;Associated Film Distribution;Jerry Leider;;https://m.media-amazon.com/images/M/MV5BZGEwNTA3MjgtYzE0Mi00MjQ2LThkNjAtYzcyODE3NDBjODIwXkEyXkFqcGdeQXVyNjE5MjUyOTM@._SL110_CR21,0,74,110_AL_.jpg
1980;Raise the Titanic;Associated Film Distribution;William Frye;;https://m.media-amazon.com/images/M/MV5BNTQyZGI0NDgtYTM0ZC00NTdkLTk2OTItYTgwYmYwNjZlNDRlXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._SL110_CR21,0,74,110_AL_.jpg
1980;Saturn 3;Associated Film Distribution;Stanley Donen;;https://m.media-amazon.com/images/M/MV5BOGU1MDY4YzYtMWIzYi00YjVkLWJiNzUtNTU4NTE1MTcxMWM2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._SL110_CR21,0,74,110_AL_.jpg
1980;Windows;United Artists;Mike Lobell;;
1980;Xanadu;Universal Studios;Lawrence Gordon;;https://m.media-amazon.com/images/M/MV5BYTlkNWQyMjAtZGE2Yi00YWU2LWI5N2EtOGIwYjJjOTkxNzNhXkEyXkFqcGdeQXVyNzc5MjA3OA@@._SL110_CR21,0,74,110_AL_.jpg
1981;Mommie Dearest;Paramount Pictures;Frank Yablans;yes;https://upload.wikimedia.org/wikipedia/en/9/94/Mommie_Dearest-HR_Edition_cover.jpg
1981;Endless Love;Universal Studios, PolyGram;Dyson Lovell;;https://upload.wikimedia.org/wikipedia/en/f/f0/Endless_love.jpg
1981;Heaven's Gate;United Artists;Joann Carelli;;https://upload.wikimedia.org/wikipedia/en/5/52/Heavens_gate_post.jpg
1981;The Legend of the Lone Ranger;Universal Studios, Associated Film Distribution;Walter Coblenz;;https://upload.wikimedia.org/wikipedia/en/b/b3/The_Legend_of_the_Lone_Ranger.jpg
1981;Tarzan, the Ape Man;MGM, United Artists;John Derek;;https://upload.wikimedia.org/wikipedia/en/f/f2/Tarzan%2C_the_Ape_Man.jpg
1982;Inchon;MGM;Mitsuharu Ishii;yes;https://upload.wikimedia.org/wikipedia/en/4/47/Inchon_Movie_poster.jpg
1982;Annie;Columbia Pictures;Ray Stark;;https://upload.wikimedia.org/wikipedia/en/c/cd/Annie-film.jpg
1982;Butterfly;Analysis Film Releasing;Matt Cimber;;https://upload.wikimedia.org/wikipedia/en/2/21/Butterfly1982.jpg
1982;Megaforce;20th Century Fox;Albert S. Ruddy;;https://upload.wikimedia.org/wikipedia/en/8/8a/Megaforceposter.jpg
1982;The Pirate Movie;20th Century Fox;David Joseph;;https://upload.wikimedia.org/wikipedia/en/2/21/Pirate_Movie.jpg
1983;The Lonely Lady;Universal Studios;Robert R. Weston;yes;https://upload.wikimedia.org/wikipedia/en/a/a8/The_lonely_lady.jpg
1983;Hercules;MGM, United Artists, Cannon Films;Yoram Globus and Menahem Golan;;https://upload.wikimedia.org/wikipedia/en/1/11/Herculesposter1983.jpg
1983;Jaws 3-D;Universal Studios;Rupert Hitzig;;https://upload.wikimedia.org/wikipedia/en/c/c3/Jaws_3d.jpg
1983;Stroker Ace;Warner Bros., Universal Studios;Hank Moonjean;;https://upload.wikimedia.org/wikipedia/en/0/01/Strokerposter.jpg
1983;Two of a Kind;20th Century Fox;Roger M. Rothstein and Joe Wizan;;https://upload.wikimedia.org/wikipedia/en/3/3f/Twoofakind1983Poster.jpg
1984;Bolero;Cannon Films;Bo Derek;yes;https://upload.wikimedia.org/wikipedia/en/0/01/Boleroposter.jpg
1984;Cannonball Run II;Warner Bros.;Albert S. Ruddy;;https://upload.wikimedia.org/wikipedia/en/6/6a/Cannonball_run_ii.jpg
1984;Rhinestone;20th Century Fox;Marvin Worth and Howard Smith;;https://upload.wikimedia.org/wikipedia/en/9/9d/Rhinestone_%28movie_poster%29.jpg
1984;Sheena;Columbia Pictures;Paul Aratow;;https://upload.wikimedia.org/wikipedia/en/4/4d/TanyaSheena.jpg
1984;Where the Boys Are '84;TriStar Pictures;Allan Carr;;https://upload.wikimedia.org/wikipedia/en/8/88/Where_the_Boys_Are_%2784.jpg
1985;Rambo: First Blood Part II;Columbia Pictures;Buzz Feitshans;yes;https://upload.wikimedia.org/wikipedia/en/f/fc/Rambo_first_blood_part_ii.jpg
1985;Fever Pitch;MGM, United Artists;Freddie Fields;;https://upload.wikimedia.org/wikipedia/en/7/7b/Fever_Pitch_1985_poster.jpg
1985;Revolution;Warner Bros.;Irwin Winkler;;https://upload.wikimedia.org/wikipedia/en/3/36/Revolution_imp.jpg
1985;Rocky IV;MGM, United Artists;Irwin Winkler and Robert Chartoff;;https://upload.wikimedia.org/wikipedia/en/9/95/Rocky_IV.jpg
1985;Year of the Dragon;MGM, United Artists;Dino De Laurentiis;;https://upload.wikimedia.org/wikipedia/en/b/b0/Year_of_the_dragon_poster.jpg
1986;Howard the Duck;Universal Studios;Gloria Katz;yes;https://upload.wikimedia.org/wikipedia/en/7/7f/Howard_the_Duck_%281986%29.jpg
1986;Under the Cherry Moon;Warner Bros.;Bob Cavallo, Joe Ruffalo and Steve Fargnoli;yes;https://upload.wikimedia.org/wikipedia/en/b/b4/Under_the_cherry_moon.jpg
1986;Blue City;Paramount Pictures;William L. Hayward and Walter Hill;;https://upload.wikimedia.org/wikipedia/en/b/bc/Bluecityposter.jpg
1986;Cobra;Warner Bros., Cannon Films;Yoram Globus and Menahem Golan;;https://upload.wikimedia.org/wikipedia/en/4/41/Cobra_movie_poster.jpg
1986;Shanghai Surprise;MGM;John Kohn;;https://upload.wikimedia.org/wikipedia/en/7/74/Shanghai_surprise_poster.jpg
1987;Leonard Part 6;Columbia Pictures;Bill Cosby;yes;https://upload.wikimedia.org/wikipedia/en/b/bd/Leonard_part_six_ver2.jpg
1987;Ishtar;Columbia Pictures;Warren Beatty;;https://upload.wikimedia.org/wikipedia/en/thumb/5/58/Ishtar_poster.jpg/220px-Ishtar_poster.jpg
1987;Jaws: The Revenge;Universal Studios;Joseph Sargent;;https://upload.wikimedia.org/wikipedia/en/c/cb/Jaws_The_Revenge.jpg
1987;Tough Guys Don't Dance;Cannon Films;Yoram Globus and Menahem Golan;;https://upload.wikimedia.org/wikipedia/en/d/dc/Tough_guys_dont_dance_ver2.jpg
